title,year,imdb_ratings
1. Oh My Darling,2021,5.8
2. Blueberry,2021,6.0
3. H.P. Lovecraft's Witch House,2021,2.6
4. Malibu Road,2021,4.5
5. Apache Leap,2021,
6. Not Broken,2021,6.1
7. Megaboa,2021,2.7
8. The American Connection,2021,6.8
9. COVID-19: Invasion,2021,2.0
10. Riptide,2021,4.2
11. Fountaine and the Vengeful Nun Who Wouldn't Die,2021,5.0
12. A Haunting in Ravenwood,2021,5.1
13. Mouse,2021,7.0
14. Witch,2021,8.6
15. The Girl Behind the Door,2021,7.1
16. One Night in the Heartland,2021,
17. Oro Arrowhead,2021,3.3
18. The Hammer of Witches: The Screech Owl,2021,6.0
19. Made in Mexico,2021,8.4
20. Plastic French,2021,5.6
21. Chosen,2021,4.3
22. Hollywood Signs,2021,6.3
23. Around Robin,2021,5.8
24. Black Lies,2021,5.5
25. The Pilgrim,2021,5.9
26. Intrusion,2021,
27. Lens Flares: Trauma in Journalism,2021,
28. Voorhees Night of the Beast,2021,5.9
29. Creek,2021,2.4
30. This Is Life,2021,
31. A Heart Like Water,2021,8.0
32. The Cosmic Hoax: An Expose,2021,6.9
33. Vampire Strippers,2021,3.7
34. Connected,2021,6.6
35. Ghostwritten,2021,7.5
36. Making YouTube,2021,8.2
37. Skagit,2021,4.3
38. La Tóxica,2021,
39. Remaining Light,2021,5.5
40. 73 Minutes,2021,6.0
41. Chedda Boys,2021,7.9
42. Ebony Hustle,2021,5.5
43. Meatheads,2021,
44. Smiley Origins,2021,
45. Goitaca,2021,5.8
46. Clowns in the Woods,2021,3.1
47. Nomad & Roadrunner,2021,
"48. The Absurd, Surreal, Metaphysical and Fractured Destiny of Cerebus the Aardvark",2021,6.3
49. The Yin and Yang of Gerry Lopez,2021,8.2
50. A Sister's Grudge,2021,4.8
51. Full Out: Inside Ohio Show Choir,2021,
52. Dark Christmas,2021,
53. Cupcake,2021,
54. Looking for Ai,2021,
55. Permitted,2021,6.0
56. Zero Avenue,2021,4.2
57. The Legend of Resurrection Mary,2021,
58. Evaporation,2021,6.4
59. The Legend of Kate Kensington,2021,5.8
60. Paranormal Investigators,2021,6.9
61. Delicate State,2021,7.4
62. Divide & Conquer,2021,4.8
63. The Finder,2021,6.9
64. Howard High,2021,6.2
65. Velvet Jesus,2021,7.9
66. Revenge of the Killer Titties,2021,
67. City Limits,,
68. The Golf Ball,2021,7.4
69. Deadlock,2021,8.1
70. Hallucinations,2021,5.0
71. Purse,2021,4.0
72. Breaking the Waves,2021,
73. Memoirs of a Fighter,2021,
74. Divine Decision: Double Down,2021,
75. Deepest Dark,2021,8.4
76. VHS Violence,2021,3.8
77. Doosra,2021,
78. The Law of Destiny,2021,8.8
79. Hustle 2,2021,
80. Christmas Journey,2021,6.0
81. Bart Bagalzby and the Garbage Genie,2021,
82. Tinsel - The Lost Movie About Hollywood,2021,7.5
83. Behind a Masquerade of Rhymes,2021,6.1
84. The Black Nun,2021,3.2
85. The Suite,2021,
86. Night of the Falling Stars,2021,2.8
87. Preggers,2021,
88. Love Is This,2021,
89. Family Snapshot,2021,
90. Mediator,2021,7.1
91. The Best of Times,2021,8.3
92. Big-Time Soccer: The Remarkable Rise & Fall of the NASL,2021,6.0
93. Life Over Death,2021,
94. The Little Einsteins Reboot Movie,2021,
95. American Gangster: Sonny Speaks,2021,
"96. The Anthology of Julius, the Nigerian Immigrant",2021,7.9
97. The Pickup on South Street,2021,
98. Flaky,2021,5.1
99. Miss Angela,2021,8.6
100. I.F.S.,2021,
101. Vacaciones de terror (la reunion),2021,
102. Lynchpin of Bensonhurst: The Dominick Montiglio Story,2021,7.1
103. Philly on Fire,2021,
104. Absurdist,2021,
105. The Birthmark Killer,2021,5.0
106. A Walk Through Hell: Missouri State Penitentiary,2021,
107. Devil Put the Coal in the Ground,2021,7.5
108. This Side Up,2021,6.4
109. Washingtonia,,4.7
110. All Aboard,2021,
111. Marvin,2021,5.9
112. Role Model,2021,
113. San Francisco Stories,2021,8.4
114. The Love of a King Christmas Movie Musical,2021,7.6
115. Isolated,2021,
116. Las diosas de la mafia,2021,
117. Handshake,2021,7.7
118. Fettered,2021,
119. Dating Hell,2021,5.2
120. Hunted,2021,
121. Everything You Are,2021,
122. Buckin' Bulls: The Story of Ty Rinaldo,2021,
123. Ground Swell: Epic Stories of Monster Waves,2021,7.9
124. Gorenography,2021,7.0
125. Life Goes On,2021,
126. Jennie,2021,8.2
127. The Art of Letting Go,2021,
128. The Night Time World,2021,
129. The Philly Mob,2021,
130. Scole: The Afterlife Experiment,2021,
131. Ransom,2021,
132. Michael & Maria vs. the Multiverse: a tragedy,2021,
133. Cam's Story,2021,
134. The Peaceful Revolution: Journey to Freedom,2021,
135. Dark Zone Thirteen Part 2,2021,
136. Las Chacalosas,2021,
137. Making Mad: The Alfred E.Neuman Story,2021,
138. Warrior Spirit,2021,4.0
139. A New Kind of Woman,2021,3.6
140. Dark Harvest,2021,
141. Wait for Love,2021,
142. Killers Club,2021,
143. The Two Lucys,2021,
144. We Go Deep,2021,
145. Life After Prison,2021,
146. Popovich: Road to Hollywood,2021,4.7
147. Badlander,2021,
148. Deadly Ride,2021,
149. Wordslingers: The Story of Self-Publishing,2021,
150. The Hills Ablaze,2021,
151. Bermuda,2021,
152. Fries! The Movie,2021,5.9
153. Sand & Snow,2021,
154. Ashes to Ashes,2021,10
155. Deck,2021,
156. Chasing Rabbits,2021,6.8
157. The Charmed Life of Fig Dauphine,2021,
"158. Let There Be Light: Photon and the Birth, Life, and Legacy of Laser Tag",2021,
159. 23rd Century Giants,2021,6.9
160. The Hazing,2021,
161. Love One Another,2021,
162. The Artist Body,2021,
163. Portals,2021,
164. Texas Carlos Massacre: An Unfocused Journey Into Housecore Horror Festival of Film and Music,2021,
165. The Detour,2021,
166. The Gold Coast,2021,
167. Never Alone Movie,2021,
168. Fantastic Vehicles 4 Decay,2021,
169. Double Blind,2021,
170. Trapped in Schizophrenia,2021,
171. Stale Ramen,2021,
172. Don't Look in the Bedroom,2021,
173. Final Curtain Part 23 - Mardi Gras Massacre,2021,7.4
174. Ignite Your Love,2021,
175. Hidden Beyond the Veil: A Documentary About What Comes Next?,2021,
176. United We Fall II: The Exposed Truth,2021,
"177. I'm Sorry, Darby",2021,
"178. All, Alone",2021,
179. The Kid from Crime Alley,2021,
180. Faces of Dying II,2021,2.4
181. Ghost Radar,2021,
182. Abandoned at Birth,2021,2.8
183. The Train,2021,
184. Scarlett,2021,
185. Chasing the Dead,2021,
186. Lie Q,2021,5.4
187. The Making of Tom Clancy's Without Remorse,2021,
188. Whirlpool,2021,
189. The Love of the Grind,2021,
190. Chasing Greatness,2021,
191. Balloon Man,2021,6.0
192. Who Is It?,2021,5.5
193. The Cards That We Were Dealt,2021,
194. Ole King Cole,2021,
195. Empty Paradise,2021,7.6
196. Earth Emergency,2021,6.3
197. SKY,2021,
198. The Coup,2021,
199. Low Heat,2021,8.6
200. Gone Home,2021,
201. The Wild Brothers: Islands of the Four Kings,2021,
202. The Hunchback of Bel Air,2021,3.6
203. Crazy in Love,2021,8.5
204. Swing State,2021,
205. Grid Iron,2021,
206. Gang Gang,2021,
207. Spike Lee's Da 5 Bloods: Casting and Crafting a Timely Epic,2021,
208. Death Park: The Beginning,2021,4.5
